,text,score,kelas,,,,,,,
828,viral warga terekam efek samping vaksin corona ,0,netral,,,,,,,
829,proses pembuatan vaksin corona merah putih,-1,negatif,,,,,,,
830,,0,netral,,,,,,,
831, vaksin corona sbnrnya malas bengkaknya habis disuntik sakit banget habis vaksin panas,-2,negatif,,,,,,,
832,bogor wilayah pemberian vaksin corona berkas kompas bag ,0,netral,,,,,,,
833, walas ku januari suntik vaksin corona sekolah sekolah offline intinya januari bunda,0,netral,,,,,,,
834,uu cipta kerja vaksin corona pulau komodo,0,netral,,,,,,,
835,hebatnya beli vaksin sinovac perhitungan beli usd dosis turun usd dosis hebat gub sao paolo beli usd dokter bagus pedagang bagus dokter dagangkan ilmu bagus menteri,4,positif,,,,,,,
836,pemerintah ugalugalan vaksin corona rakyat dijadikan kelinci percobaan,-1,negatif,,,,,,,
837,serius vaksin corona virus kah,-2,negatif,,,,,,,
838,vaksin corona jaminan kesehatan negara ,2,positif,,,,,,,
839, vaksin influenza ya setuju sih vaksin corona diwajibkan warga link kayaknya krg sinkron jatuhnya panik,0,netral,,,,,,,
840,vaksin corona jaminan kesehatan negara ,2,positif,,,,,,,
841,,0,netral,,,,,,,
842,,0,netral,,,,,,,
843, darurat corona bohong bohong vaksin nya belumselesai ya,-3,negatif,,,,,,,
844, gese buangett berkali lipat lap bola ijo segar belakangnya tukisan sman semoga kayak smansa kiyta malem foto foto situ bagus banget hasilnya acara vaksin corona sekolah vaksinnya sih,2,positif,,,,,,,
845, contoh vaksin corona diminum seduh,1,positif,,,,,,,
846,perusahaan china tawarkan vaksin virus corona mahasiswa,-1,negatif,,,,,,,
847,sdr prof idiot keberatan vaksin bersumber ensim babi anjing silakan tunggu vaksin produksi kadal gurun arab vaksin kencing onta vaksin covid syar musni umar bersumber babi anjing,-6,negatif,,,,,,,
848, kiamat mencoba vaksin corona anjir,-1,negatif,,,,,,,
849,corona vaksin bahas mengurusi rakyat kelaparan dasar bangkai,-1,negatif,,,,,,,
850, parah dihantam corona brasil tolak vaksin china,-1,negatif,,,,,,,
851, mosi sadar vaksin corona turun ,0,netral,,,,,,,
852, suntikan luarnya tertulis vaksin corona isinya vitamin sih sehat sehat gilirannya rakyat vaksin corona persetujuan who bpom idi,3,positif,,,,,,,
853,saking rumah pas vaksin corona bingung bebas kemana,0,netral,,,,,,,
854,beritanya musim pilkada corona menurun musim vaksin corona meningkat ruwet,-1,negatif,,,,,,,
855, vaksin mengatasi wabah suka salah prediksi damai corona lihat ,0,netral,,,,,,,
856, vaksin cepat dikebut gara gara corona,1,positif,,,,,,,
857,ketua tim peneliti uji klinis vaksin covid fakultas kedokteran unpad prof kusnandi rusmil vaksin covid buatan sinovac china diuji klinis tahap bandung berkali kali dicek aspek keamanannya penggunaan,0,netral,,,,,,,
858,vietnam uji coba vaksin covid monyet,0,netral,,,,,,,
859,china hasil uji klinis vaksin covid aman manusia,1,positif,,,,,,,
860,israel november lakukan uji coba vaksin covid manusia,0,netral,,,,,,,
861,perusahaan bioteknologi moderna melaporkan data hasil uji klinis tahap akhir vaksin covid buatan perusahaan kamis,0,netral,,,,,,,
862,menteri riset teknologi menristek kepala badan riset inovasi nasional brin bambang pas brodjonegoro vaksin covid dikembangkan negeri terjamin aman kriteria utama vaksin,3,positif,,,,,,,
863,israel minggu menguji kandidat vaksin covid uji coba manusia berhasil didistribusikan masyarakat akhir musim panas ,1,positif,,,,,,,
864, tuh coba unk menteri kena covid biar mencoba vaksin,0,netral,,,,,,,
865, shrsnya rakyat penghormatan kpda pmrintah wajib mendahulukn pemrintah mndpatkn vaksin covid presiden mentri jajarannya dpr dijamin kesehatannya semangat kerja kerja,2,positif,,,,,,,
866,masyarakat tidakperlu takut vaksin covid,-2,negatif,,,,,,,
867,psi pemerintah hatihati distribusikan vaksin covid,1,positif,,,,,,,
868,badan pom kawal keamanan khasiat mutu vaksin covid,0,netral,,,,,,,
869,jokowi negara berlomba vaksin covid secepatnya,1,positif,,,,,,,
870,china klaim hasil uji klinis vaksin covid aman manusia,1,positif,,,,,,,
871,pemerintah upayakan penerima vaksin covid merata nasional,0,netral,,,,,,,
872,kemarin mui tuding presiden prancis vaksin covid,0,netral,,,,,,,
873,bpom pastikan vaksin covid aman berkhasiat izin edar,1,positif,,,,,,,
874,jokowi pengadaan vaksin covid tergesagesa,-1,negatif,,,,,,,
875,dirut bio farma uji klinis vaksin covid tahap hambatan,-1,negatif,,,,,,,
876,pakar imunisasi uji klinis vaksin covid tahap aman,1,positif,,,,,,,
877, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
878, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
879, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
880, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
881, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
882, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
883, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
884, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
885, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
886, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
887, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
888, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
889, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
890, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
891,barusan potong rambut salon johnny andrean gancit tutup eh pakai masker ngoceh covid bohong perusahaan vaksin bayar media nakut in orang langsung gue hengkang potong salon nolak orang goblok kayak ,-1,negatif,,,,,,,
892,terkait vaksin covid krisdayanti pemerintah transparan publikasi uji klinis,0,netral,,,,,,,
893,urun pendapat krisdayanti petugas transportasi prioritas pemberian vaksin covid,-1,negatif,,,,,,,
894,badan pom kawal keamanan khasiat mutu vaksin covid,0,netral,,,,,,,
895,butuh ribu vaksin covid pemkot batu prioritaskan nakes tni polri,0,netral,,,,,,,
896,direktur utama angkasa pura ii awaluddin ajakan bandara dikelolanya pendistribusian vaksin covid,0,netral,,,,,,,
897, sombong sok sokan sejenisnya meelihat perkembangan dunia penerbangan persiapan distribusi vaksin covid senang tulisan kayak keresahanku terbayar lunas,-1,negatif,,,,,,,
898,turki menguji coba coronavac buatan tiongkok ratusan warganya sukarelawan vaksin,0,netral,,,,,,,
899,presiden jokowi jajarannya memperhatikan aspek kesehatan vaksin covid disuntikkan masyarakat,1,positif,,,,,,,
900, informasi komunikasi vaksin covid tidaktegas transparan dikhawatirkan menimbulkan kebingungan masyarakat ilmuwan,-3,negatif,,,,,,,
901, kesiapan cold chain vaksin covid berfungsi mencapai persen,0,netral,,,,,,,
902, tiongkok vaksin covid dikembangkan lembaga penelitian produsen farmasi,0,netral,,,,,,,
903,butuh menyosialisasikan manfaat vaksin covid lantaran warga divaksin,1,positif,,,,,,,
904,guru unpad cissy rachiana sudjana prawirakartasasmita vaksin corona china diuji coba tahap teruji keamanannya,0,netral,,,,,,,
905,israel mengalami kemajuan pengembangan vaksin covid ditargetkan edar ,1,positif,,,,,,,
906,bio farma pemantauan efek samping pascapemberian vaksin covid,0,netral,,,,,,,
907, orang disuntik vaksin covid tahap tidakada gejala mengkhawatirkan,-3,negatif,,,,,,,
908,who memiliki pedoman negara menyediakan sepuluh persen vaksin tenaga kesehatan diprioritaskan,1,positif,,,,,,,
909,profesor kusnandi rusmil menilai pt biofarma memiliki kompetensi vaksin covid,0,netral,,,,,,,
910,kepekaan korea selatan sukses menangani covid sebentar musim dingin wabah flu merajalela,-2,negatif,,,,,,,
911,andai nya negara produksi vaksin covid prancis apapun vaksin cina dipesan layak ditunggu kelanjutannya konsisten menolak betapa bahagianya gerombolan anti cina benaran menolak vaksin,-2,negatif,,,,,,,
912,badan pom kawal keamanan khasiat mutu vaksin covid ,0,netral,,,,,,,
913,awas hoaks vaksin covid mengubah dna manusia ,-1,negatif,,,,,,,
914,salah vaksin covid mengubah dna manusia ,-1,negatif,,,,,,,
915,,0,netral,,,,,,,
916,menteri jokowi dikabarkan tertular covid naahh moment bagus coba vaksin covid mentri pejabat istana tertular tuh rakyat djadikan kelinci percobaan setuju ,2,positif,,,,,,,
917,kayaknya season seru nih benaran crita vaksin covid,0,netral,,,,,,,
918,mantul semoga pandemi covid selesai tersedianya vaksin covid bersatu kalahkan kovid,1,positif,,,,,,,
919,uji vaksin covid dilaksanakan hatihati tercapai keefektifan vaksin ,2,positif,,,,,,,
920,vaksin kebal covid,0,netral,,,,,,,
921, tampung tunggu vaksin covid pulih sediakala rm sebulan fasa tapak tangan nyiru ditadahkan,1,positif,,,,,,,
922,program karya anak bangsa ketua pelaksana komite penanganan covid pemulihan ekonomi nasional kpcpen melaporkan perkembangan vaksin halal wakil presiden ruf amin,3,positif,,,,,,,
923,tong masyarajat tra mragukan manfaat vaksin covid su dicek dibagi jaga dirimu kovid,1,positif,,,,,,,
924,vaksin covid bersatu kalahkan kovid,1,positif,,,,,,,
925,pengembangan kandidat vaksin covid china didanai cepi,-1,negatif,,,,,,,
926, ksna sklian sobek tuh mjlah charlie hebdo demo dipenerbitnya nambah kena covid pulng vaksin demo disana terserah pusing psbb ketat mulu kena covid didata bertambah kerja gaji dipotong stres imune mnrun,-4,negatif,,,,,,,
927,reposted from memenuhi kebutuhan vaksin covid mendesak pemerintah mengembangkan vaksin merah putih menjalin kerjasama internasional produsen vaksin yuk kenali istilah seputar vaksin,0,netral,,,,,,,
928, harga resmi vaksin covid,0,netral,,,,,,,
929, who melaporkan perkembangan terbaru posisi kandidat vaksin covid fase klinis tahap fase klinis tahap fase klinis tahap fase klinis tahap kandidat tahap evaluasi praklinis lolos uji aman,2,positif,,,,,,,
930,terkait vaksin legislator sarankan pemerintah libatkan bangak negara biar hasilnya lebihbaik,2,positif,,,,,,,
931,anggota menyarankan pengadaan vaksin bermitra negara,0,netral,,,,,,,
932, daus golongan percaya covid konspirasi dunia daus geng anti vaksin,-2,negatif,,,,,,,
933, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik trust politica,1,positif,,,,,,,
934, vaksin covid marwan jafar libatkan kerjasama negara lebihbaik,1,positif,,,,,,,
935,,0,netral,,,,,,,
936, covid agenda yahudi illuminati rakyat je sop cuba family kau kena covid kau tengok mata kau terlantar katil kes ah kes vaksin bidah konon hok allah je sop susah,-3,negatif,,,,,,,
937,anggota menyarankan pengadaan vaksin bermitra negara,0,netral,,,,,,,
938,terkait vaksin legislator sarankan pemerintah libatkan bangak negara biar hasilnya lebihbaik,2,positif,,,,,,,
939,relawan uji vaksin covid sinovac bandung drop out alasannya,0,netral,,,,,,,
940, diisukan batal brasil tegaskan beli vaksin covid china,0,netral,,,,,,,
941,bpom tegaskan vaksin covid izin edar,0,netral,,,,,,,
942,bpom tegaskan vaksin covid izin edar,0,netral,,,,,,,
943,relawan uji vaksin covid sinovac bandung drop out alasannya,0,netral,,,,,,,
944, diisukan batal brasil tegaskan beli vaksin covid china,0,netral,,,,,,,
945, diisukan batal brasil tegaskan beli vaksin covid china,0,netral,,,,,,,
946,bpom tegaskan vaksin covid izin edar,0,netral,,,,,,,
947,relawan uji vaksin covid sinovac bandung drop out alasannya,0,netral,,,,,,,
948,pakar vaksin covid kepastian desember tersedia luas,2,positif,,,,,,,
949,vaksin covid oxford tunjukkan respons imun lansia dewasa muda,2,positif,,,,,,,
950, diisukan batal brasil tegaskan beli vaksin covid china,0,netral,,,,,,,
951,bpom tegaskan vaksin covid izin edar,0,netral,,,,,,,
952,relawan uji vaksin covid sinovac bandung drop out alasannya,0,netral,,,,,,,
953,yay bandung,1,positif,,,,,,,
954,kelompok relawan vaksin covid disuntik israel,0,netral,,,,,,,
955,bibit vaksin merah putih covid diujicobakan hewan,0,netral,,,,,,,
956,vaksin covid astrazeneca menghasilkan kekebalan orang tua,0,netral,,,,,,,
957,profesor oxford klaim vaksin covid tersedia natal,1,positif,,,,,,,
958,relawan berhenti uji klinis vaksin covid sinovac alasan ,-1,negatif,,,,,,,
959, vaksin covid jepang diuji coba desember,0,netral,,,,,,,
960,kemenkes pastikan vaksin covid beredar lolos uji klinis,0,netral,,,,,,,
961, pastikan lakukan prosedur penyimpanan vaksin covid,0,netral,,,,,,,
962,psi pemerintah hatihati distribusikan vaksin covid,1,positif,,,,,,,
963,penularan covid diputus menunggu vaksin,0,netral,,,,,,,
964,bpom tahapan proses pengajuan izin edar vaksin covid,0,netral,,,,,,,
965,perusahaan farmasi perancis siapkan vaksin covid ri minat,0,netral,,,,,,,
966,vaksinolog keamanan vaksin covid ditawar,0,netral,,,,,,,
967,kabar uji klinik vaksin covid vaksin harapan bersatu kalahkan kovid,1,positif,,,,,,,
968, memiliki kemampuan kemandirian vaksin covid perketat prokes liburan vaksin ampuh pastinya,1,positif,,,,,,,
969,masyrakat tidakperlu meragukan manfaat vaksin covid liburan sehat patuh prokes,0,netral,,,,,,,
970,peta vaksin covid tunggu bpom,0,netral,,,,,,,
971,kabar vaksin covid hasilkan antibodi manusia,0,netral,,,,,,,
972,berharap vaksin covid libatkan negara lebihbaik,1,positif,,,,,,,
973,rm keperluan rumah patuhi sop nasihat kkm langkah pencegahan vaksin terbaik keluarga jangkitan covid,1,positif,,,,,,,
974,vaksin covid buatan dinamai vaksin merah putih vaksin ditargetkan diproduksi ,0,netral,,,,,,,
975,tanzania swedia bebas covid vaksin ,1,positif,,,,,,,
976,selamat ulang kimsabu semoga cepat menemukan vaksin covid menyembuhkan pasien sakit,1,positif,,,,,,,
977,top news koran rakyat merdeka disuntikkan vaksin merah putih bukti kemandirian ,0,netral,,,,,,,
978,vaksin latih tubuh kenal lawan kebal penyakit,-2,negatif,,,,,,,
979,vaksin efektif cegah infeksi penyebaran penyakit menular,-1,negatif,,,,,,,
980,top news koran rakyat merdeka vaksin covid jokowi sejalan nu mui muhammadiyah,0,netral,,,,,,,
981,airlangga tugas bpom menentukan keamanan vaksin sinovac,1,positif,,,,,,,
982,top news koran rakyat merdeka soroti pernyataan bpom netizen happy pemerintah jamin vaksin covid aman,1,positif,,,,,,,
983,enam institusi kembangkan vaksin merah putih,0,netral,,,,,,,
984,pakar imunisasi aman vaksin covid uji klinis,1,positif,,,,,,,
985,top news koran rakyat merdeka arahan presiden joko widodo vaksin gratis urusan kemenkes vaksin berbayar urusan bumn,1,positif,,,,,,,
986,top news koran rakyat merdeka kehalalan vaksin covid mui ruf amin berusaha rakyat tenang aman,2,positif,,,,,,,
987,kabar vaksin covid hasilkan antibodi manusia,0,netral,,,,,,,
988,peta vaksin covid tunggu bpom,0,netral,,,,,,,
989, vaksin covid ,0,netral,,,,,,,
990,alhamdulillah kekal not bad bang maintain je vaksin covid available next year,2,positif,,,,,,,
991, pandemi covid sosialisasi ruu obl komunikasi publiknya kacau perihal vaksin covid november entar mati habis vaksin rame deh tunggangan politisnya kerusuhan jokowi sengaja dijauhkan pendukung rakyatnya,-1,negatif,,,,,,,
992,vaksin covid diundur presiden november kendalikan kerusuhan chaos mati sehabis vaksinasi orang orang kabinet padamkan chaos relawan nya relawan padamkan chaos upaya seret bawa jkw arus kanan ngeri,-3,negatif,,,,,,,
993,nak cakap pasal agama please cakap pasal konspirasi dajal lepas kaitkan pasal covid anti vaksin penat bodoh suka ahli agama main topic respect langsung,-1,negatif,,,,,,,
994, terfollow sorang geng anti vaksin freemason covid is dajjal plan for new world order sop solat covid syaitan who arahkan dato onn amaran freemason info nak unfollow cerita ,-1,negatif,,,,,,,
995, covid deh vaccine geng antivax register nama asingkan diorang senang sikit nak vaksin cepat biarkan diorang mati membiak,1,positif,,,,,,,
996, eroh lak iku soale dikei info teko rs ku lak katene onk imunisasi vaksin covid ngunu,0,netral,,,,,,,
997,al tau moco lek vaksin covid negara maju klaim dicurigai membahayakan eruh hoax po wkwk,0,netral,,,,,,,
998, diuji coba vaksin covid tenaga pendidik ya vaksin titik mending berenti guru deh takut,-1,negatif,,,,,,,
999, is impose fines on those who refuse vaccinations,0,netral,,,,,,,
1000,masyrakat tidakperlu meragukan manfaat vaksin covid liburan sehat patuh prokes optimis mengatasi,2,positif,,,,,,,
1001,pemerintah biaya cadanganuntk pembelian vaksin covid cegah cluster kovid,0,netral,,,,,,,
1002,masyarakat tidakperlu meragukan manfaat vaksin covid jaga dirimu kovid manfaat vaksin,0,netral,,,,,,,
1003,pemerintah mengembangkan vaksin covid jaga dirimu kovid pemerintah berusaha masyarakat taati aturan ya,0,netral,,,,,,,
1004,kabar uji klinik vaksin covid bersatu kalahkan kovid vaksin harapan ,1,positif,,,,,,,
1005,masyarakat tidakperlu meragukan manfaat vaksin covid jaga dirimu kovid masyarakat percayai pemerintah,-1,negatif,,,,,,,
1006,masyarakat tidakperlu meragukan manfaat vaksin covid jaga dirimu kovid masyarakat tidakperlu ragu,-3,negatif,,,,,,,
1007, liberal sikit sikit je sok orang cakap dorang percaya vaksin cakap covid agenda freemason terpulang dorang diorang bawa hujah kluster tabligh wujud mainan media simpan bukti,1,positif,,,,,,,
1008,presiden brasil tolak beli vaksin covid china negara ya,0,netral,,,,,,,
1009,iya varian virus flu an vaksin nya berulang setahun kali vaksinasi repot ya kecuali teknologi medis bagus ya statement ilmuwan covid mengubah dunia,0,netral,,,,,,,
1010,vaksin merah putih vaksin covid isolat virus bertransmisi ,-1,negatif,,,,,,,
1011,vaksin merah putih vaksin murni buatan negeri strain covid perkembangan vaksin mencapai persen ditargetkan selesai dipertengahan ,1,positif,,,,,,,
1012, kerjasama memproduksi vaksin china rencana mengimpor vaksin buatan inggris mengatasi pandemi covid tanah air pemerintah berupaya pengembangan vaksin covid buatan putera bangsa,1,positif,,,,,,,
1013,vaksin covid buatan dinamai vaksin merah putih vaksin ditargetkan diproduksi ,0,netral,,,,,,,
1014,pengadaan vaksin covid pendanaannya bersumber apbn mekanisme kontrak jamak,0,netral,,,,,,,
1015, nak cari pasangan kena anti vaksin bumi bulat kena percaya covid ,-1,negatif,,,,,,,
1016, vaksin disarankan libatkan bangak negara biar hasilnya lebihbaik,1,positif,,,,,,,
1017, vaksin sarankan melibatkan kerjasama negara,0,netral,,,,,,,
1018,anggota menyarankan pengadaan vaksin bermitra negara,0,netral,,,,,,,
1019,infografis tahapan pengembangan vaksin covid,0,netral,,,,,,,
1020,video bpom awasi keamanan vaksin covid,0,netral,,,,,,,
1021,survei persen masyarakat menolak vaksin covid,-1,negatif,,,,,,,
1022, skema luarbiasa menghadirkan vaksin covid mudahan lancar,0,netral,,,,,,,
1023,,0,netral,,,,,,,
1024,,0,netral,,,,,,,
1025,,0,netral,,,,,,,
1026,mari dukung doakan terbaik pengembangan vaksin mencegah vaksin covid baiknya mencoba vaksin ,1,positif,,,,,,,
1027, gebrakan pemerintah putra bangsa memerangi pandemi covid langkah ,0,netral,,,,,,,
1028,vaksin merah putih vaksin covid isolat virus bertransmisi ,-1,negatif,,,,,,,
1029,ketua pelaksana komite penanganan covid erick thohir menilai vaksin merah putih langkah jangka pemerintah mengatasi pandemi virus corona,0,netral,,,,,,,
1030,dpr pengadaan vaksin covid bermitra negara,0,netral,,,,,,,
1031,cek fakta jawa barat daerah disuntik vaksin covid,1,positif,,,,,,,
1032,pelaksanaan uji klinis vaksin corona sinovac uji klinis melibatkan warga peneliti berjalan diprediksi selesai maret,-1,negatif,,,,,,,
1033,presiden jokowi distribusi vaksin covid memakai pendekatan pemberian vaksin kelompok masyarakat vaksin dibeli masyarakat,0,netral,,,,,,,
1034, erick thohir matang skema menghadirkan vaksin covid memenuhi kebutuhan jangka pendek dibuatlah skema kerja produsen vaksin global,2,positif,,,,,,,
1035,vaksin covid buatan dinamai vaksin merah putih skema mendesak kebutuhan vaksinasi secepat erick thohir prioritas pengembangan vaksin merah putih,-1,negatif,,,,,,,
1036, presiden joko widodo kepercayaan dukungan penuh pengembangan pembuatan vaksin merah putih menambah kepercayaan memiliki vaksin covid ,3,positif,,,,,,,
1037,vaksin covid buatan dinamakan vaksin merah putih ditargetkan ,0,netral,,,,,,,
1038, memenuhi kebutuhan vaksin mka pemerintah memenuhi ketersediaan vaksin covid menurun,1,positif,,,,,,,
1039,terobosan vaksin merah putih langkah penanganan covid,1,positif,,,,,,,
1040, menyambut pengembangan vaksin merah putih berdampak penanganan covid ,1,positif,,,,,,,
1041,vaksin covid buatan dinamakan vaksin merah putih ditargetkan ,0,netral,,,,,,,
1042,pengadaan vaksin merah putih langkah pemerintah mengurangi ketergantungan vaksin impor covid,-1,negatif,,,,,,,
1043,ketersediaan vaksin covid kebutuhan masyarakat dibutuhkan impor negeri vaksin merah putih dikembangkan lembaga biologi molekuler eijkman masuk tahap uji hewan,0,netral,,,,,,,
1044,ketua pelaksana komite penanganan covid pemulihan ekonomi nasional kpcpen erick thohir melaporkan perkembangan vaksin halal wakil presiden ruf amin,2,positif,,,,,,,
1045,pemerintah berupaya menekankan penyebaran covid diindonesia salah satunya menyediakan vaksin covid aman efektif,0,netral,,,,,,,
1046,pengembangan vaksin simbol kemajuan kemandirian bentuk tanggung pemerintah memenuhi kebutuhan masyarakat vaksin covid vuntuk progres,2,positif,,,,,,,
1047,biofarma berstandar internasional cek who yakindan percaya vaksin mengatasi covid ,1,positif,,,,,,,
1048,vaksin covid buatan dinamakan vaksin merah putih ditargetkan ,0,netral,,,,,,,
1049,keamanan vaksin covid ditawar berita,0,netral,,,,,,,
1050,angkatan darat dilibatkan proses pembuatan vaksin covid berita,-1,negatif,,,,,,,
1051,pengembangan bentuk langkah jangka pemerintah mandiri memproduksi vaksin covid,0,netral,,,,,,,
1052,vaksin covid buatan dinamakan vaksin merah putih ditargetkan ,0,netral,,,,,,,
1053,produksi vaksin bernama vaksin merah putih menekan impor menteri bumn erick thohir produksi vaksin covid buatan lokal digarap,-1,negatif,,,,,,,
1054, kerjasama memproduksi vaksin china rencana mengimpor vaksin buatan inggris mengatasi pandemi covid tanah air pemerintah berupaya pengembangan vaksin covid buatan putera bangsa,1,positif,,,,,,,
1055, memenuhi kebutuhan vaksin covid mendesak pemerintah mengembangkan vaksin merah putih menjalin kerjasama internasional produsen vaksin,0,netral,,,,,,,
1056,pemerintah bergantung vaksin covid buatan negeri,0,netral,,,,,,,
1057, negara maju memproduksi vaksin melawan covid,1,positif,,,,,,,
1058,kinerja luarbiasa pemerintah kabarnya mengimpor vaksin covid,0,netral,,,,,,,
1059, bukti mandiri pengembangan produksi vaksin covid,0,netral,,,,,,,
1060,relawan uji vaksin covid sinovac bandung drop out alasannya pela,0,netral,,,,,,,
1061,kemenkes ri tegaskan vaksin covid tersedia november kemenkes ri,1,positif,,,,,,,
1062, pandemi covid vaksin ,0,netral,,,,,,,
1063,pakar vaksin covid kepastian desember tersedia luas pakar pengin,2,positif,,,,,,,
1064,moderna laporkan hasil uji klinis vaksin covid moderna meng,0,netral,,,,,,,
1065,vaksin covid oxford tunjukkan respons imun lansia dewasa muda kandidat ,2,positif,,,,,,,
1066,ri beli vaksin covid astrazeneca sih penjelasannya menko pere,0,netral,,,,,,,
1067, suntik vaksin covid menko pmk keputusan final vaksi,0,netral,,,,,,,
1068,vaksin covid buatan dinamakan vaksin merah putih ditargetkan ,0,netral,,,,,,,
1069, mengimpor vaksin covid memproduksi vaksin covid,0,netral,,,,,,,
1070, dorong vaksin covid ,0,netral,,,,,,,
1071,melaporkan perkembangan vaksin halal wakil presiden ruf amin ruf amin erick juta dosis vaksin covid akhir juta dosis ,1,positif,,,,,,,
1072,upaya pemerintah mengembangkan penanganan pandemi covid apresiasi guys,1,positif,,,,,,,
1073, upaya memutus rantai covid pemerintah memproduksi vaksin merah putih ,0,netral,,,,,,,
1074,horree mengembangkan vaksin penanganan pandemi covid asyekk,0,netral,,,,,,,
1075,vaksin covid hasil buatan putera bangsa dinamai patut diapresiasi nih gaes,0,netral,,,,,,,
1076,vaksin covid hasil buatan putera bangsa dinamai ,0,netral,,,,,,,
1077, bekerjasama china vaksin sinovac berupaya mengembangkan vaksinnya upaya penanganan covid,0,netral,,,,,,,
1078, bekerjasama china vaksin sinovac berupaya mengembangkan vaksinnya upaya penanganan covid,0,netral,,,,,,,
1079, kembangkan nya mengurangi ketergantungan vaksin covid impor,-1,negatif,,,,,,,
1080, memiliki kerjasama vaksin covid mengabaikan vaksin covid buatan putera bangsa ,-1,negatif,,,,,,,
1081, mendukung prioritaskan dorong menerima impor vaksin covid ,2,positif,,,,,,,
1082,vaksin covid karya putra bangsa berencana nama nama khas lambang berdera ,1,positif,,,,,,,
1083,vaksin covid buatan putera bangsa dampak positif nya produksi,1,positif,,,,,,,
1084,pengembangan detik tenaga kemampuan dikerahkan pemerintah menekan penyebaran covid ,0,netral,,,,,,,
1085,mencapai pemerintah bekerjakeras mengatasi menurunkan peyebaran virus covid salah satunya penggunaan vaksin,-1,negatif,,,,,,,
1086,ketua pelaksana komite penanganan covid erick thohir menerangkan langkah jangka pemerintah mengembangkan vaksin merah putih tergantungan negeri,1,positif,,,,,,,
1087, vaksin covid buatan pengembangan vaksin merah putih laboratorium mencapai mancap,0,netral,,,,,,,
1088, pecapaianya vaksin covid buatan pengembangan vaksin merah putih laboratorium mencapai mancap,0,netral,,,,,,,
1089,vaksin covid buatan dinamai vaksin ditargetkan diproduksi ,0,netral,,,,,,,
1090, mengimpor vaksin covid memproduksi vaksin covid nama vaksin merah putih,0,netral,,,,,,,
1091, vaksin nama menanggulangi covid vaksin bertujuan melatih kekebalan tubuh antibodi memusnahkan virus,-2,negatif,,,,,,,
1092,menteri bumn erick thohir pembuatan vaksin merah putih langkah jangka mengatasi ketergantungan vaksin impor covid,0,netral,,,,,,,
1093, mengimpor vaksin negeri mengatasi pandemi covid pemerintah berupaya keras mengembangkan,0,netral,,,,,,,
1094, vaksin covid merah putih diuji lembaga perguruan vaksin diserahkan bio farma uji klinis thp efek samping thp keamanan tubuh thp finalisasi,0,netral,,,,,,,
1095,pembuatan vaksin buatan anak bangsa diharapkan memenuhi kebutuhan vaksin rakyat terkecuali tingkat kesembuhan pasien covid meningkat,1,positif,,,,,,,
1096,upaya pemerintah menanggulangi virus corona impor vaksin pemerintah berencana vaksin covid ,-1,negatif,,,,,,,
1097, masyarakat takut suntik vaksin covid diharapkan masyarakat takut disuntik vaksin virus covid,-3,negatif,,,,,,,
1098,pengembangan vaksin simbol kemandirian bentuk tanggung pemerintah memenuhi kebutuhan masyarakat vaksin covid pandemi,1,positif,,,,,,,
1099,negara negara merdeka berhak bersaing negara maju lainya pembuatan vaksin covid,-1,negatif,,,,,,,
1100, memenuhi kebutuhan vaksin pemerintah memenuhi ketersediaan vaksin covid menurun,1,positif,,,,,,,
1101, langkah jangka diambil pemerintah mengatasi pandemi covid,1,positif,,,,,,,
1102,vaksin covid hasil buatan putera bangsa dinamai ,0,netral,,,,,,,
1103, mengimpor vaksin negeri mengatasi pandemi covid pemerintah berupaya mengembangkan,1,positif,,,,,,,
1104,erick pengadaan vaksin merah putih langkah pemerintah mengurangi ketergantungan vaksin impor covid,-1,negatif,,,,,,,
1105,ketua pelaksana komite penanganan covid erick thohir menerangkan langkah jangka pemerintah mengembangkan vaksin merah putih,1,positif,,,,,,,
1106,pemerintah bekerjakeras mengatasi menurunkan peyebaran virus covid salah satunya penggunaan vaksin,-1,negatif,,,,,,,
